# Threads,# Instructions,IPC,Cache References,Cache Miss Rate,#Branches,Branch Miss Fraction,L1 Cache Load,L1 Cache Load Miss Rate,LL Cache Load,LL Cache Load Miss Rate,SpeedUp
32.00 ,5215907071.00 ,0.62 ,371112292.00 ,3.96 ,374134330.00 ,0.34 ,2245564962.00 ,9.58 ,368409310.00 ,4.11 ,0.88 
32.00 ,20458288857.00 ,0.58 ,1402553040.00 ,7.30 ,1445495432.00 ,0.18 ,8765396950.00 ,8.83 ,1399422073.00 ,7.27 ,0.98 
32.00 ,82421898118.00 ,0.51 ,5697646297.00 ,7.10 ,5864103915.00 ,0.15 ,35343251100.00 ,9.99 ,5704461050.00 ,7.16 ,1.69 
1.00 ,1650919037.00 ,0.84 ,86367464.00 ,8.00 ,87815854.00 ,0.31 ,667822596.00 ,7.60 ,86204824.00 ,8.67 ,1.00 
1.00 ,6099874607.00 ,0.62 ,334731707.00 ,8.67 ,356460761.00 ,0.15 ,2467913758.00 ,8.17 ,334737523.00 ,8.51 ,1.00 
1.00 ,23994188747.00 ,0.69 ,1327543136.00 ,9.61 ,1355047291.00 ,0.08 ,9532456372.00 ,8.16 ,1335320510.00 ,9.83 ,1.00 
1.00 ,97335434157.00 ,0.88 ,5378758457.00 ,9.26 ,5493518497.00 ,0.04 ,38708276180.00 ,8.04 ,5388738277.00 ,9.35 ,1.00 
4.00 ,1650919037.00 ,0.84 ,86367464.00 ,8.00 ,87815854.00 ,0.31 ,667822596.00 ,7.60 ,86204824.00 ,8.67 ,0.61 
4.00 ,6099874607.00 ,0.62 ,334731707.00 ,8.67 ,356460761.00 ,0.15 ,2467913758.00 ,8.17 ,334737523.00 ,8.51 ,0.83 
4.00 ,23994188747.00 ,0.69 ,1327543136.00 ,9.61 ,1355047291.00 ,0.08 ,9532456372.00 ,8.16 ,1335320510.00 ,9.83 ,0.84 
4.00 ,97335434157.00 ,0.88 ,5378758457.00 ,9.26 ,5493518497.00 ,0.04 ,38708276180.00 ,8.04 ,5388738277.00 ,9.35 ,0.88 
8.00 ,1650919037.00 ,0.84 ,86367464.00 ,8.00 ,87815854.00 ,0.31 ,667822596.00 ,7.60 ,86204824.00 ,8.67 ,0.57 
8.00 ,6099874607.00 ,0.62 ,334731707.00 ,8.67 ,356460761.00 ,0.15 ,2467913758.00 ,8.17 ,334737523.00 ,8.51 ,0.97 
8.00 ,23994188747.00 ,0.69 ,1327543136.00 ,9.61 ,1355047291.00 ,0.08 ,9532456372.00 ,8.16 ,1335320510.00 ,9.83 ,1.03 
8.00 ,97335434157.00 ,0.88 ,5378758457.00 ,9.26 ,5493518497.00 ,0.04 ,38708276180.00 ,8.04 ,5388738277.00 ,9.35 ,0.91 
16.00 ,1650919037.00 ,0.84 ,86367464.00 ,8.00 ,87815854.00 ,0.31 ,667822596.00 ,7.60 ,86204824.00 ,8.67 ,0.49 
16.00 ,6099874607.00 ,0.62 ,334731707.00 ,8.67 ,356460761.00 ,0.15 ,2467913758.00 ,8.17 ,334737523.00 ,8.51 ,0.97 
16.00 ,23994188747.00 ,0.69 ,1327543136.00 ,9.61 ,1355047291.00 ,0.08 ,9532456372.00 ,8.16 ,1335320510.00 ,9.83 ,1.02 
16.00 ,97335434157.00 ,0.88 ,5378758457.00 ,9.26 ,5493518497.00 ,0.04 ,38708276180.00 ,8.04 ,5388738277.00 ,9.35 ,1.00 
32.00 ,1650919037.00 ,0.84 ,86367464.00 ,8.00 ,87815854.00 ,0.31 ,667822596.00 ,7.60 ,86204824.00 ,8.67 ,0.52 
32.00 ,6099874607.00 ,0.62 ,334731707.00 ,8.67 ,356460761.00 ,0.15 ,2467913758.00 ,8.17 ,334737523.00 ,8.51 ,1.02 
32.00 ,23994188747.00 ,0.69 ,1327543136.00 ,9.61 ,1355047291.00 ,0.08 ,9532456372.00 ,8.16 ,1335320510.00 ,9.83 ,1.61 
32.00 ,97335434157.00 ,0.88 ,5378758457.00 ,9.26 ,5493518497.00 ,0.04 ,38708276180.00 ,8.04 ,5388738277.00 ,9.35 ,1.34 
1.00 ,419849457.00 ,0.48 ,973725.00 ,1.43 ,54410142.00 ,5.46 ,151744070.00 ,0.35 ,968894.00 ,0.71 ,1.00 
1.00 ,3308494857.00 ,1.43 ,6902936.00 ,2.72 ,421447022.00 ,5.62 ,1149810936.00 ,0.31 ,6855032.00 ,2.62 ,1.00 
1.00 ,25882923881.00 ,1.29 ,56210572.00 ,1.72 ,3298504860.00 ,5.82 ,9189799176.00 ,0.32 ,54182178.00 ,1.78 ,1.00 
1.00 ,204277102993.00 ,1.37 ,426839595.00 ,1.91 ,26177126026.00 ,5.82 ,73061938245.00 ,0.31 ,425635691.00 ,1.92 ,1.00 
4.00 ,419849457.00 ,0.48 ,973725.00 ,1.43 ,54410142.00 ,5.46 ,151744070.00 ,0.35 ,968894.00 ,0.71 ,0.78 
4.00 ,3308494857.00 ,1.43 ,6902936.00 ,2.72 ,421447022.00 ,5.62 ,1149810936.00 ,0.31 ,6855032.00 ,2.62 ,0.80 
4.00 ,25882923881.00 ,1.29 ,56210572.00 ,1.72 ,3298504860.00 ,5.82 ,9189799176.00 ,0.32 ,54182178.00 ,1.78 ,0.84 
4.00 ,204277102993.00 ,1.37 ,426839595.00 ,1.91 ,26177126026.00 ,5.82 ,73061938245.00 ,0.31 ,425635691.00 ,1.92 ,1.37 
8.00 ,419849457.00 ,0.48 ,973725.00 ,1.43 ,54410142.00 ,5.46 ,151744070.00 ,0.35 ,968894.00 ,0.71 ,1.62 
8.00 ,3308494857.00 ,1.43 ,6902936.00 ,2.72 ,421447022.00 ,5.62 ,1149810936.00 ,0.31 ,6855032.00 ,2.62 ,0.83 
8.00 ,25882923881.00 ,1.29 ,56210572.00 ,1.72 ,3298504860.00 ,5.82 ,9189799176.00 ,0.32 ,54182178.00 ,1.78 ,0.89 
8.00 ,204277102993.00 ,1.37 ,426839595.00 ,1.91 ,26177126026.00 ,5.82 ,73061938245.00 ,0.31 ,425635691.00 ,1.92 ,1.46 
16.00 ,419849457.00 ,0.48 ,973725.00 ,1.43 ,54410142.00 ,5.46 ,151744070.00 ,0.35 ,968894.00 ,0.71 ,1.39 
16.00 ,3308494857.00 ,1.43 ,6902936.00 ,2.72 ,421447022.00 ,5.62 ,1149810936.00 ,0.31 ,6855032.00 ,2.62 ,0.56 
16.00 ,25882923881.00 ,1.29 ,56210572.00 ,1.72 ,3298504860.00 ,5.82 ,9189799176.00 ,0.32 ,54182178.00 ,1.78 ,1.17 
16.00 ,204277102993.00 ,1.37 ,426839595.00 ,1.91 ,26177126026.00 ,5.82 ,73061938245.00 ,0.31 ,425635691.00 ,1.92 ,1.48 
32.00 ,419849457.00 ,0.48 ,973725.00 ,1.43 ,54410142.00 ,5.46 ,151744070.00 ,0.35 ,968894.00 ,0.71 ,1.14 
32.00 ,3308494857.00 ,1.43 ,6902936.00 ,2.72 ,421447022.00 ,5.62 ,1149810936.00 ,0.31 ,6855032.00 ,2.62 ,0.73 
32.00 ,25882923881.00 ,1.29 ,56210572.00 ,1.72 ,3298504860.00 ,5.82 ,9189799176.00 ,0.32 ,54182178.00 ,1.78 ,1.18 
32.00 ,204277102993.00 ,1.37 ,426839595.00 ,1.91 ,26177126026.00 ,5.82 ,73061938245.00 ,0.31 ,425635691.00 ,1.92 ,1.92 
1.00 ,362917393.00 ,1.10 ,12195929.00 ,2.33 ,54458771.00 ,5.87 ,149459220.00 ,8.04 ,12058955.00 ,2.32 ,1.00 
1.00 ,2847540802.00 ,0.84 ,95609733.00 ,6.60 ,416974092.00 ,5.70 ,1186204122.00 ,8.05 ,96523793.00 ,6.63 ,1.00 
1.00 ,22356898279.00 ,0.71 ,767756388.00 ,7.07 ,3285810146.00 ,5.79 ,9275105349.00 ,8.27 ,770418727.00 ,7.07 ,1.00 
1.00 ,177362430931.00 ,0.76 ,6148585400.00 ,7.15 ,26122332815.00 ,5.83 ,73324375730.00 ,8.38 ,6164450725.00 ,7.16 ,1.00 
4.00 ,362917393.00 ,1.10 ,12195929.00 ,2.33 ,54458771.00 ,5.87 ,149459220.00 ,8.04 ,12058955.00 ,2.32 ,0.66 
4.00 ,2847540802.00 ,0.84 ,95609733.00 ,6.60 ,416974092.00 ,5.70 ,1186204122.00 ,8.05 ,96523793.00 ,6.63 ,0.77 
4.00 ,22356898279.00 ,0.71 ,767756388.00 ,7.07 ,3285810146.00 ,5.79 ,9275105349.00 ,8.27 ,770418727.00 ,7.07 ,0.90 
4.00 ,177362430931.00 ,0.76 ,6148585400.00 ,7.15 ,26122332815.00 ,5.83 ,73324375730.00 ,8.38 ,6164450725.00 ,7.16 ,1.79 
8.00 ,362917393.00 ,1.10 ,12195929.00 ,2.33 ,54458771.00 ,5.87 ,149459220.00 ,8.04 ,12058955.00 ,2.32 ,0.73 
8.00 ,2847540802.00 ,0.84 ,95609733.00 ,6.60 ,416974092.00 ,5.70 ,1186204122.00 ,8.05 ,96523793.00 ,6.63 ,0.68 
8.00 ,22356898279.00 ,0.71 ,767756388.00 ,7.07 ,3285810146.00 ,5.79 ,9275105349.00 ,8.27 ,770418727.00 ,7.07 ,1.27 
8.00 ,177362430931.00 ,0.76 ,6148585400.00 ,7.15 ,26122332815.00 ,5.83 ,73324375730.00 ,8.38 ,6164450725.00 ,7.16 ,1.66 
16.00 ,362917393.00 ,1.10 ,12195929.00 ,2.33 ,54458771.00 ,5.87 ,149459220.00 ,8.04 ,12058955.00 ,2.32 ,0.47 
16.00 ,2847540802.00 ,0.84 ,95609733.00 ,6.60 ,416974092.00 ,5.70 ,1186204122.00 ,8.05 ,96523793.00 ,6.63 ,0.90 
