# Threads,# Cycles,# Instructions,IPC,Cache References,Cache misses,Cache Miss Rate,#Branches,Branch-Misses,Branch Miss Fraction,L1 Cache Load,L1 Cache Load Miss,L1 Cache Load Miss Rate,LL Cache Load,LL Cache Load Miss,LL Cache Load Miss Rate,SpeedUp
16,3858419746,2839855515,0.736015183,50590689,2463022,4.868528278,571119244,11791898,2.06469982,1205376677,23829598,1.976942018,46075483,2401502,5.212103799,0.177758625
16,5875492124,5112971556,0.870220136,75175074,2966012,3.945472671,683567980,14413016,2.108497826,1739664370,47213404,2.713937517,74913566,3130798,4.179213682,0.473595657
16,13678837438,14150157967,1.034456183,180182018,2957293,1.641280874,1594237179,24466406,1.534677921,4287286035,138834135,3.23827554,177216882,2986018,1.684951211,0.65404509
16,6.99558E+11,7.7705E+11,1.110773449,8545524538,57752684,0.675823745,75181431116,895120307,1.190613551,2.161E+11,7393929685,3.421528572,8547879917,57285598,0.670173172,1.273812886
32,3858419746,2839855515,0.736015183,50590689,2463022,4.868528278,571119244,11791898,2.06469982,1205376677,23829598,1.976942018,46075483,2401502,5.212103799,0.351868726
32,5875492124,5112971556,0.870220136,75175074,2966012,3.945472671,683567980,14413016,2.108497826,1739664370,47213404,2.713937517,74913566,3130798,4.179213682,0.437041346
32,13678837438,14150157967,1.034456183,180182018,2957293,1.641280874,1594237179,24466406,1.534677921,4287286035,138834135,3.23827554,177216882,2986018,1.684951211,0.479948611
32,6.99558E+11,7.7705E+11,1.110773449,8545524538,57752684,0.675823745,75181431116,895120307,1.190613551,2.161E+11,7393929685,3.421528572,8547879917,57285598,0.670173172,1.311195168
1,7729224054,3073891489,0.397697294,104970867,16138284,15.37405993,670879256,30130729,4.49122979,1483588783,58418999,3.937681362,94545740,16226295,17.16237559,1
1,16582902303,5233108622,0.315572541,197848224,39911844,20.17296046,1153210632,55861323,4.843982656,2625467071,119591922,4.555072251,178709137,39311844,21.99766876,1
1,36105185859,9280689682,0.257045891,392927556,89084732,22.67205001,2020160892,108324534,5.362173599,4657942512,232931376,5.000735312,340222021,85899563,25.24809028,1
1,9.36129E+11,1.30834E+11,0.139761133,5949491857,2476197826,41.62032465,19344748719,1016374705,5.254008309,75218423374,3488026739,4.637197355,4432732141,2249508361,50.74767185,1
4,7729224054,3073891489,0.397697294,104970867,16138284,15.37405993,670879256,30130729,4.49122979,1483588783,58418999,3.937681362,94545740,16226295,17.16237559,0.836049538
4,16582902303,5233108622,0.315572541,197848224,39911844,20.17296046,1153210632,55861323,4.843982656,2625467071,119591922,4.555072251,178709137,39311844,21.99766876,0.923208664
4,36105185859,9280689682,0.257045891,392927556,89084732,22.67205001,2020160892,108324534,5.362173599,4657942512,232931376,5.000735312,340222021,85899563,25.24809028,0.899100849
