# Threads,# Instructions,IPC,Cache References,Cache Miss Rate,#Branches,Branch Miss Fraction,L1 Cache Load,L1 Cache Load Miss Rate,LL Cache Load,LL Cache Load Miss Rate,SpeedUp
4.00,3073891489.00,0.40,104970867.00,15.37,670879256.00,4.49,1483588783.00,3.94,94545740.00,17.16,0.84
4.00,5233108622.00,0.32,197848224.00,20.17,1153210632.00,4.84,2625467071.00,4.56,178709137.00,22.00,0.92
4.00,9280689682.00,0.26,392927556.00,22.67,2020160892.00,5.36,4657942512.00,5.00,340222021.00,25.25,0.90
4.00,130834437697.00,0.14,5949491857.00,41.62,19344748719.00,5.25,75218423374.00,4.64,4432732141.00,50.75,0.90
8.00,3073891489.00,0.40,104970867.00,15.37,670879256.00,4.49,1483588783.00,3.94,94545740.00,17.16,0.95
8.00,5233108622.00,0.32,197848224.00,20.17,1153210632.00,4.84,2625467071.00,4.56,178709137.00,22.00,0.87
8.00,9280689682.00,0.26,392927556.00,22.67,2020160892.00,5.36,4657942512.00,5.00,340222021.00,25.25,0.94
8.00,130834437697.00,0.14,5949491857.00,41.62,19344748719.00,5.25,75218423374.00,4.64,4432732141.00,50.75,0.64
16.00,3073891489.00,0.40,104970867.00,15.37,670879256.00,4.49,1483588783.00,3.94,94545740.00,17.16,0.92
16.00,5233108622.00,0.32,197848224.00,20.17,1153210632.00,4.84,2625467071.00,4.56,178709137.00,22.00,0.88
16.00,9280689682.00,0.26,392927556.00,22.67,2020160892.00,5.36,4657942512.00,5.00,340222021.00,25.25,0.80
16.00,130834437697.00,0.14,5949491857.00,41.62,19344748719.00,5.25,75218423374.00,4.64,4432732141.00,50.75,0.70
32.00,3073891489.00,0.40,104970867.00,15.37,670879256.00,4.49,1483588783.00,3.94,94545740.00,17.16,1.06
32.00,5233108622.00,0.32,197848224.00,20.17,1153210632.00,4.84,2625467071.00,4.56,178709137.00,22.00,0.79
32.00,9280689682.00,0.26,392927556.00,22.67,2020160892.00,5.36,4657942512.00,5.00,340222021.00,25.25,1.10
32.00,130834437697.00,0.14,5949491857.00,41.62,19344748719.00,5.25,75218423374.00,4.64,4432732141.00,50.75,0.82
1.00,29544167248.00,0.90,477132562.00,5.24,2455115984.00,3.68,13010417648.00,1.82,468310218.00,5.52,1.00
1.00,29643751281.00,0.92,498668172.00,5.19,2437150140.00,3.65,13017400123.00,1.86,489721980.00,5.36,1.00
1.00,29668778382.00,0.96,479123593.00,5.29,2504379059.00,3.56,13081322571.00,1.82,475052999.00,5.61,1.00
1.00,2203090880584.00,1.04,32531940126.00,5.27,77947601500.00,2.02,993902681032.00,1.80,32439418465.00,5.25,1.00
4.00,29544167248.00,0.90,477132562.00,5.24,2455115984.00,3.68,13010417648.00,1.82,468310218.00,5.52,1.10
4.00,29643751281.00,0.92,498668172.00,5.19,2437150140.00,3.65,13017400123.00,1.86,489721980.00,5.36,1.17
4.00,29668778382.00,0.96,479123593.00,5.29,2504379059.00,3.56,13081322571.00,1.82,475052999.00,5.61,0.98
4.00,2203090880584.00,1.04,32531940126.00,5.27,77947601500.00,2.02,993902681032.00,1.80,32439418465.00,5.25,1.35
8.00,29544167248.00,0.90,477132562.00,5.24,2455115984.00,3.68,13010417648.00,1.82,468310218.00,5.52,1.33
8.00,29643751281.00,0.92,498668172.00,5.19,2437150140.00,3.65,13017400123.00,1.86,489721980.00,5.36,1.18
8.00,29668778382.00,0.96,479123593.00,5.29,2504379059.00,3.56,13081322571.00,1.82,475052999.00,5.61,0.81
8.00,2203090880584.00,1.04,32531940126.00,5.27,77947601500.00,2.02,993902681032.00,1.80,32439418465.00,5.25,1.48
16.00,29544167248.00,0.90,477132562.00,5.24,2455115984.00,3.68,13010417648.00,1.82,468310218.00,5.52,1.17
